Transaction Date,Account Number,Account Holder Name,Amount
2025/02/06,000-100004681-81,Bob Smith,4681.81
2025-03-07,0000000000004682,Carol Williams,4682.82
2025-04-08,000-100004683-83,,4683.83
2025-05-09,000-100004684-84,Emma Davis,-10.00
2025-06-10,000-100004685-85,Frank Miller,4686.85
2025/07/11,000-100004686-86,Grace Wilson,4686.86
2025-08-12,0000000000004687,Hank Moore,4687.87
2025-09-13,000-100004688-88,,4688.88
2025-10-14,000-100004689-89,Jack Anderson,-10.00
2025-11-15,000-100004690-90,Alice Johnson,"4,691.90"
2025/12/16,000-100004691-91,Bob Smith,4691.91
2025-01-17,0000000000004692,Carol Williams,4692.92
2025-02-18,000-100004693-93,,4693.93
2025-03-19,000-100004694-94,Emma Davis,-10.00
2025-04-20,000-100004695-95,Frank Miller,4696.95
2025/05/21,000-100004696-96,Grace Wilson,4696.96
2025-06-22,0000000000004697,Hank Moore,4697.97
2025-07-23,000-100004698-98,,4698.98
2025-08-24,000-100004699-99,Jack Anderson,-10.00
2025-09-25,000-100004700-00,Alice Johnson,"4,701.00"
2025/10/26,000-100004701-01,Bob Smith,4701.01
2025-11-27,0000000000004702,Carol Williams,4702.02
2025-12-28,000-100004703-03,,4703.03
2025-01-01,000-100004704-04,Emma Davis,-10.00
2025-02-02,000-100004705-05,Frank Miller,4706.05
2025/03/03,000-100004706-06,Grace Wilson,4706.06
2025-04-04,0000000000004707,Hank Moore,4707.07
2025-05-05,000-100004708-08,,4708.08
2025-06-06,000-100004709-09,Jack Anderson,-10.00
2025-07-07,000-100004710-10,Alice Johnson,"4,711.10"
2025/08/08,000-100004711-11,Bob Smith,4711.11
2025-09-09,0000000000004712,Carol Williams,4712.12
2025-10-10,000-100004713-13,,4713.13
2025-11-11,000-100004714-14,Emma Davis,-10.00
2025-12-12,000-100004715-15,Frank Miller,4716.15
2025/01/13,000-100004716-16,Grace Wilson,4716.16
2025-02-14,0000000000004717,Hank Moore,4717.17
2025-03-15,000-100004718-18,,4718.18
2025-04-16,000-100004719-19,Jack Anderson,-10.00
2025-05-17,000-100004720-20,Alice Johnson,"4,721.20"
2025/06/18,000-100004721-21,Bob Smith,4721.21
2025-07-19,0000000000004722,Carol Williams,4722.22
2025-08-20,000-100004723-23,,4723.23
2025-09-21,000-100004724-24,Emma Davis,-10.00
2025-10-22,000-100004725-25,Frank Miller,4726.25
2025/11/23,000-100004726-26,Grace Wilson,4726.26
2025-12-24,0000000000004727,Hank Moore,4727.27
2025-01-25,000-100004728-28,,4728.28
2025-02-26,000-100004729-29,Jack Anderson,-10.00
2025-03-27,000-100004730-30,Alice Johnson,"4,731.30"
2025/04/28,000-100004731-31,Bob Smith,4731.31
2025-05-01,0000000000004732,Carol Williams,4732.32
2025-06-02,000-100004733-33,,4733.33
2025-07-03,000-100004734-34,Emma Davis,-10.00
2025-08-04,000-100004735-35,Frank Miller,4736.35
2025/09/05,000-100004736-36,Grace Wilson,4736.36
2025-10-06,0000000000004737,Hank Moore,4737.37
2025-11-07,000-100004738-38,,4738.38
2025-12-08,000-100004739-39,Jack Anderson,-10.00
2025-01-09,000-100004740-40,Alice Johnson,"4,741.40"
2025/02/10,000-100004741-41,Bob Smith,4741.41
2025-03-11,0000000000004742,Carol Williams,4742.42
2025-04-12,000-100004743-43,,4743.43
2025-05-13,000-100004744-44,Emma Davis,-10.00
2025-06-14,000-100004745-45,Frank Miller,4746.45
2025/07/15,000-100004746-46,Grace Wilson,4746.46
2025-08-16,0000000000004747,Hank Moore,4747.47
2025-09-17,000-100004748-48,,4748.48
2025-10-18,000-100004749-49,Jack Anderson,-10.00
2025-11-19,000-100004750-50,Alice Johnson,"4,751.50"
2025/12/20,000-100004751-51,Bob Smith,4751.51
2025-01-21,0000000000004752,Carol Williams,4752.52
2025-02-22,000-100004753-53,,4753.53
2025-03-23,000-100004754-54,Emma Davis,-10.00
2025-04-24,000-100004755-55,Frank Miller,4756.55
2025/05/25,000-100004756-56,Grace Wilson,4756.56
2025-06-26,0000000000004757,Hank Moore,4757.57
2025-07-27,000-100004758-58,,4758.58
2025-08-28,000-100004759-59,Jack Anderson,-10.00
2025-09-01,000-100004760-60,Alice Johnson,"4,761.60"
2025/10/02,000-100004761-61,Bob Smith,4761.61
2025-11-03,0000000000004762,Carol Williams,4762.62
2025-12-04,000-100004763-63,,4763.63
2025-01-05,000-100004764-64,Emma Davis,-10.00
2025-02-06,000-100004765-65,Frank Miller,4766.65
2025/03/07,000-100004766-66,Grace Wilson,4766.66
2025-04-08,0000000000004767,Hank Moore,4767.67
2025-05-09,000-100004768-68,,4768.68
2025-06-10,000-100004769-69,Jack Anderson,-10.00
2025-07-11,000-100004770-70,Alice Johnson,"4,771.70"
2025/08/12,000-100004771-71,Bob Smith,4771.71
2025-09-13,0000000000004772,Carol Williams,4772.72
2025-10-14,000-100004773-73,,4773.73
2025-11-15,000-100004774-74,Emma Davis,-10.00
2025-12-16,000-100004775-75,Frank Miller,4776.75
2025/01/17,000-100004776-76,Grace Wilson,4776.76
2025-02-18,0000000000004777,Hank Moore,4777.77
2025-03-19,000-100004778-78,,4778.78
2025-04-20,000-100004779-79,Jack Anderson,-10.00
2025-05-21,000-100004780-80,Alice Johnson,"4,781.80"
2025/06/22,000-100004781-81,Bob Smith,4781.81
2025-07-23,0000000000004782,Carol Williams,4782.82
2025-08-24,000-100004783-83,,4783.83
2025-09-25,000-100004784-84,Emma Davis,-10.00
2025-10-26,000-100004785-85,Frank Miller,4786.85
2025/11/27,000-100004786-86,Grace Wilson,4786.86
2025-12-28,0000000000004787,Hank Moore,4787.87
2025-01-01,000-100004788-88,,4788.88
2025-02-02,000-100004789-89,Jack Anderson,-10.00
2025-03-03,000-100004790-90,Alice Johnson,"4,791.90"
2025/04/04,000-100004791-91,Bob Smith,4791.91
2025-05-05,0000000000004792,Carol Williams,4792.92
2025-06-06,000-100004793-93,,4793.93
2025-07-07,000-100004794-94,Emma Davis,-10.00
2025-08-08,000-100004795-95,Frank Miller,4796.95
2025/09/09,000-100004796-96,Grace Wilson,4796.96
2025-10-10,0000000000004797,Hank Moore,4797.97
2025-11-11,000-100004798-98,,4798.98
2025-12-12,000-100004799-99,Jack Anderson,-10.00
2025-01-13,000-100004800-00,Alice Johnson,"4,801.00"
2025/02/14,000-100004801-01,Bob Smith,4801.01
2025-03-15,0000000000004802,Carol Williams,4802.02
2025-04-16,000-100004803-03,,4803.03
2025-05-17,000-100004804-04,Emma Davis,-10.00
2025-06-18,000-100004805-05,Frank Miller,4806.05
2025/07/19,000-100004806-06,Grace Wilson,4806.06
2025-08-20,0000000000004807,Hank Moore,4807.07
2025-09-21,000-100004808-08,,4808.08
2025-10-22,000-100004809-09,Jack Anderson,-10.00
2025-11-23,000-100004810-10,Alice Johnson,"4,811.10"
2025/12/24,000-100004811-11,Bob Smith,4811.11
2025-01-25,0000000000004812,Carol Williams,4812.12
2025-02-26,000-100004813-13,,4813.13
2025-03-27,000-100004814-14,Emma Davis,-10.00
2025-04-28,000-100004815-15,Frank Miller,4816.15
2025/05/01,000-100004816-16,Grace Wilson,4816.16
2025-06-02,0000000000004817,Hank Moore,4817.17
2025-07-03,000-100004818-18,,4818.18
2025-08-04,000-100004819-19,Jack Anderson,-10.00
2025-09-05,000-100004820-20,Alice Johnson,"4,821.20"
2025/10/06,000-100004821-21,Bob Smith,4821.21
2025-11-07,0000000000004822,Carol Williams,4822.22
2025-12-08,000-100004823-23,,4823.23
2025-01-09,000-100004824-24,Emma Davis,-10.00
2025-02-10,000-100004825-25,Frank Miller,4826.25
2025/03/11,000-100004826-26,Grace Wilson,4826.26
2025-04-12,0000000000004827,Hank Moore,4827.27
2025-05-13,000-100004828-28,,4828.28
2025-06-14,000-100004829-29,Jack Anderson,-10.00
2025-07-15,000-100004830-30,Alice Johnson,"4,831.30"
2025/08/16,000-100004831-31,Bob Smith,4831.31
2025-09-17,0000000000004832,Carol Williams,4832.32
2025-10-18,000-100004833-33,,4833.33
2025-11-19,000-100004834-34,Emma Davis,-10.00
2025-12-20,000-100004835-35,Frank Miller,4836.35
2025/01/21,000-100004836-36,Grace Wilson,4836.36
2025-02-22,0000000000004837,Hank Moore,4837.37
2025-03-23,000-100004838-38,,4838.38
2025-04-24,000-100004839-39,Jack Anderson,-10.00
2025-05-25,000-100004840-40,Alice Johnson,"4,841.40"
2025/06/26,000-100004841-41,Bob Smith,4841.41
2025-07-27,0000000000004842,Carol Williams,4842.42
2025-08-28,000-100004843-43,,4843.43
2025-09-01,000-100004844-44,Emma Davis,-10.00
2025-10-02,000-100004845-45,Frank Miller,4846.45
2025/11/03,000-100004846-46,Grace Wilson,4846.46
2025-12-04,0000000000004847,Hank Moore,4847.47
2025-01-05,000-100004848-48,,4848.48
2025-02-06,000-100004849-49,Jack Anderson,-10.00
2025-03-07,000-100004850-50,Alice Johnson,"4,851.50"
2025/04/08,000-100004851-51,Bob Smith,4851.51
2025-05-09,0000000000004852,Carol Williams,4852.52
2025-06-10,000-100004853-53,,4853.53
2025-07-11,000-100004854-54,Emma Davis,-10.00
2025-08-12,000-100004855-55,Frank Miller,4856.55
2025/09/13,000-100004856-56,Grace Wilson,4856.56
2025-10-14,0000000000004857,Hank Moore,4857.57
2025-11-15,000-100004858-58,,4858.58
2025-12-16,000-100004859-59,Jack Anderson,-10.00
2025-01-17,000-100004860-60,Alice Johnson,"4,861.60"
2025/02/18,000-100004861-61,Bob Smith,4861.61
2025-03-19,0000000000004862,Carol Williams,4862.62
2025-04-20,000-100004863-63,,4863.63
2025-05-21,000-100004864-64,Emma Davis,-10.00
2025-06-22,000-100004865-65,Frank Miller,4866.65
2025/07/23,000-100004866-66,Grace Wilson,4866.66
2025-08-24,0000000000004867,Hank Moore,4867.67
2025-09-25,000-100004868-68,,4868.68
2025-10-26,000-100004869-69,Jack Anderson,-10.00
2025-11-27,000-100004870-70,Alice Johnson,"4,871.70"
2025/12/28,000-100004871-71,Bob Smith,4871.71
2025-01-01,0000000000004872,Carol Williams,4872.72
2025-02-02,000-100004873-73,,4873.73
2025-03-03,000-100004874-74,Emma Davis,-10.00
2025-04-04,000-100004875-75,Frank Miller,4876.75
2025/05/05,000-100004876-76,Grace Wilson,4876.76
2025-06-06,0000000000004877,Hank Moore,4877.77
2025-07-07,000-100004878-78,,4878.78
2025-08-08,000-100004879-79,Jack Anderson,-10.00
2025-09-09,000-100004880-80,Alice Johnson,"4,881.80"
2025/10/10,000-100004881-81,Bob Smith,4881.81
2025-11-11,0000000000004882,Carol Williams,4882.82
2025-12-12,000-100004883-83,,4883.83
2025-01-13,000-100004884-84,Emma Davis,-10.00
2025-02-14,000-100004885-85,Frank Miller,4886.85
2025/03/15,000-100004886-86,Grace Wilson,4886.86
2025-04-16,0000000000004887,Hank Moore,4887.87
2025-05-17,000-100004888-88,,4888.88
2025-06-18,000-100004889-89,Jack Anderson,-10.00
2025-07-19,000-100004890-90,Alice Johnson,"4,891.90"
2025/08/20,000-100004891-91,Bob Smith,4891.91
2025-09-21,0000000000004892,Carol Williams,4892.92
2025-10-22,000-100004893-93,,4893.93
2025-11-23,000-100004894-94,Emma Davis,-10.00
2025-12-24,000-100004895-95,Frank Miller,4896.95
2025/01/25,000-100004896-96,Grace Wilson,4896.96
2025-02-26,0000000000004897,Hank Moore,4897.97
2025-03-27,000-100004898-98,,4898.98
2025-04-28,000-100004899-99,Jack Anderson,-10.00
2025-05-01,000-100004900-00,Alice Johnson,"4,901.00"
2025/06/02,000-100004901-01,Bob Smith,4901.01
2025-07-03,0000000000004902,Carol Williams,4902.02
2025-08-04,000-100004903-03,,4903.03
2025-09-05,000-100004904-04,Emma Davis,-10.00
2025-10-06,000-100004905-05,Frank Miller,4906.05
2025/11/07,000-100004906-06,Grace Wilson,4906.06
2025-12-08,0000000000004907,Hank Moore,4907.07
2025-01-09,000-100004908-08,,4908.08
2025-02-10,000-100004909-09,Jack Anderson,-10.00
2025-03-11,000-100004910-10,Alice Johnson,"4,911.10"
2025/04/12,000-100004911-11,Bob Smith,4911.11
2025-05-13,0000000000004912,Carol Williams,4912.12
2025-06-14,000-100004913-13,,4913.13
2025-07-15,000-100004914-14,Emma Davis,-10.00
2025-08-16,000-100004915-15,Frank Miller,4916.15
2025/09/17,000-100004916-16,Grace Wilson,4916.16
2025-10-18,0000000000004917,Hank Moore,4917.17
2025-11-19,000-100004918-18,,4918.18
2025-12-20,000-100004919-19,Jack Anderson,-10.00
2025-01-21,000-100004920-20,Alice Johnson,"4,921.20"
2025/02/22,000-100004921-21,Bob Smith,4921.21
2025-03-23,0000000000004922,Carol Williams,4922.22
2025-04-24,000-100004923-23,,4923.23
2025-05-25,000-100004924-24,Emma Davis,-10.00
2025-06-26,000-100004925-25,Frank Miller,4926.25
2025/07/27,000-100004926-26,Grace Wilson,4926.26
2025-08-28,0000000000004927,Hank Moore,4927.27
2025-09-01,000-100004928-28,,4928.28
2025-10-02,000-100004929-29,Jack Anderson,-10.00
2025-11-03,000-100004930-30,Alice Johnson,"4,931.30"
2025/12/04,000-100004931-31,Bob Smith,4931.31
2025-01-05,0000000000004932,Carol Williams,4932.32
2025-02-06,000-100004933-33,,4933.33
2025-03-07,000-100004934-34,Emma Davis,-10.00
2025-04-08,000-100004935-35,Frank Miller,4936.35
2025/05/09,000-100004936-36,Grace Wilson,4936.36
2025-06-10,0000000000004937,Hank Moore,4937.37
2025-07-11,000-100004938-38,,4938.38
2025-08-12,000-100004939-39,Jack Anderson,-10.00
2025-09-13,000-100004940-40,Alice Johnson,"4,941.40"
2025/10/14,000-100004941-41,Bob Smith,4941.41
2025-11-15,0000000000004942,Carol Williams,4942.42
2025-12-16,000-100004943-43,,4943.43
2025-01-17,000-100004944-44,Emma Davis,-10.00
2025-02-18,000-100004945-45,Frank Miller,4946.45
2025/03/19,000-100004946-46,Grace Wilson,4946.46
2025-04-20,0000000000004947,Hank Moore,4947.47
2025-05-21,000-100004948-48,,4948.48
2025-06-22,000-100004949-49,Jack Anderson,-10.00
2025-07-23,000-100004950-50,Alice Johnson,"4,951.50"
2025/08/24,000-100004951-51,Bob Smith,4951.51
2025-09-25,0000000000004952,Carol Williams,4952.52
2025-10-26,000-100004953-53,,4953.53
2025-11-27,000-100004954-54,Emma Davis,-10.00
2025-12-28,000-100004955-55,Frank Miller,4956.55
2025/01/01,000-100004956-56,Grace Wilson,4956.56
2025-02-02,0000000000004957,Hank Moore,4957.57
2025-03-03,000-100004958-58,,4958.58
2025-04-04,000-100004959-59,Jack Anderson,-10.00
2025-05-05,000-100004960-60,Alice Johnson,"4,961.60"
2025/06/06,000-100004961-61,Bob Smith,4961.61
2025-07-07,0000000000004962,Carol Williams,4962.62
2025-08-08,000-100004963-63,,4963.63
2025-09-09,000-100004964-64,Emma Davis,-10.00
2025-10-10,000-100004965-65,Frank Miller,4966.65
2025/11/11,000-100004966-66,Grace Wilson,4966.66
2025-12-12,0000000000004967,Hank Moore,4967.67
2025-01-13,000-100004968-68,,4968.68
2025-02-14,000-100004969-69,Jack Anderson,-10.00
2025-03-15,000-100004970-70,Alice Johnson,"4,971.70"
2025/04/16,000-100004971-71,Bob Smith,4971.71
2025-05-17,0000000000004972,Carol Williams,4972.72
2025-06-18,000-100004973-73,,4973.73
2025-07-19,000-100004974-74,Emma Davis,-10.00
2025-08-20,000-100004975-75,Frank Miller,4976.75
2025/09/21,000-100004976-76,Grace Wilson,4976.76
2025-10-22,0000000000004977,Hank Moore,4977.77
2025-11-23,000-100004978-78,,4978.78
2025-12-24,000-100004979-79,Jack Anderson,-10.00
2025-01-25,000-100004980-80,Alice Johnson,"4,981.80"
2025/02/26,000-100004981-81,Bob Smith,4981.81
2025-03-27,0000000000004982,Carol Williams,4982.82
2025-04-28,000-100004983-83,,4983.83
2025-05-01,000-100004984-84,Emma Davis,-10.00
2025-06-02,000-100004985-85,Frank Miller,4986.85
2025/07/03,000-100004986-86,Grace Wilson,4986.86
2025-08-04,0000000000004987,Hank Moore,4987.87
2025-09-05,000-100004988-88,,4988.88
2025-10-06,000-100004989-89,Jack Anderson,-10.00
2025-11-07,000-100004990-90,Alice Johnson,"4,991.90"
2025/12/08,000-100004991-91,Bob Smith,4991.91
2025-01-09,0000000000004992,Carol Williams,4992.92
2025-02-10,000-100004993-93,,4993.93
2025-03-11,000-100004994-94,Emma Davis,-10.00
2025-04-12,000-100004995-95,Frank Miller,4996.95
2025/05/13,000-100004996-96,Grace Wilson,4996.96
2025-06-14,0000000000004997,Hank Moore,4997.97
2025-07-15,000-100004998-98,,4998.98
2025-08-16,000-100004999-99,Jack Anderson,-10.00
2025-09-17,000-100005000-00,Alice Johnson,"5,001.00"
2025/10/18,000-100005001-01,Bob Smith,5001.01
2025-11-19,0000000000005002,Carol Williams,5002.02
2025-12-20,000-100005003-03,,5003.03
2025-01-21,000-100005004-04,Emma Davis,-10.00
2025-02-22,000-100005005-05,Frank Miller,5006.05
2025/03/23,000-100005006-06,Grace Wilson,5006.06
2025-04-24,0000000000005007,Hank Moore,5007.07
2025-05-25,000-100005008-08,,5008.08
2025-06-26,000-100005009-09,Jack Anderson,-10.00
2025-07-27,000-100005010-10,Alice Johnson,"5,011.10"
2025/08/28,000-100005011-11,Bob Smith,5011.11
2025-09-01,0000000000005012,Carol Williams,5012.12
2025-10-02,000-100005013-13,,5013.13
2025-11-03,000-100005014-14,Emma Davis,-10.00
2025-12-04,000-100005015-15,Frank Miller,5016.15
2025/01/05,000-100005016-16,Grace Wilson,5016.16
2025-02-06,0000000000005017,Hank Moore,5017.17
2025-03-07,000-100005018-18,,5018.18
2025-04-08,000-100005019-19,Jack Anderson,-10.00
2025-05-09,000-100005020-20,Alice Johnson,"5,021.20"
2025/06/10,000-100005021-21,Bob Smith,5021.21
2025-07-11,0000000000005022,Carol Williams,5022.22
2025-08-12,000-100005023-23,,5023.23
2025-09-13,000-100005024-24,Emma Davis,-10.00
2025-10-14,000-100005025-25,Frank Miller,5026.25
2025/11/15,000-100005026-26,Grace Wilson,5026.26
2025-12-16,0000000000005027,Hank Moore,5027.27
2025-01-17,000-100005028-28,,5028.28
2025-02-18,000-100005029-29,Jack Anderson,-10.00
2025-03-19,000-100005030-30,Alice Johnson,"5,031.30"
2025/04/20,000-100005031-31,Bob Smith,5031.31
2025-05-21,0000000000005032,Carol Williams,5032.32
2025-06-22,000-100005033-33,,5033.33
2025-07-23,000-100005034-34,Emma Davis,-10.00
2025-08-24,000-100005035-35,Frank Miller,5036.35
2025/09/25,000-100005036-36,Grace Wilson,5036.36
2025-10-26,0000000000005037,Hank Moore,5037.37
2025-11-27,000-100005038-38,,5038.38
2025-12-28,000-100005039-39,Jack Anderson,-10.00
2025-01-01,000-100005040-40,Alice Johnson,"5,041.40"
2025/02/02,000-100005041-41,Bob Smith,5041.41
2025-03-03,0000000000005042,Carol Williams,5042.42
2025-04-04,000-100005043-43,,5043.43
2025-05-05,000-100005044-44,Emma Davis,-10.00
2025-06-06,000-100005045-45,Frank Miller,5046.45
2025/07/07,000-100005046-46,Grace Wilson,5046.46
2025-08-08,0000000000005047,Hank Moore,5047.47
2025-09-09,000-100005048-48,,5048.48
2025-10-10,000-100005049-49,Jack Anderson,-10.00
2025-11-11,000-100005050-50,Alice Johnson,"5,051.50"
2025/12/12,000-100005051-51,Bob Smith,5051.51
2025-01-13,0000000000005052,Carol Williams,5052.52
2025-02-14,000-100005053-53,,5053.53
2025-03-15,000-100005054-54,Emma Davis,-10.00
2025-04-16,000-100005055-55,Frank Miller,5056.55
2025/05/17,000-100005056-56,Grace Wilson,5056.56
2025-06-18,0000000000005057,Hank Moore,5057.57
2025-07-19,000-100005058-58,,5058.58
2025-08-20,000-100005059-59,Jack Anderson,-10.00
2025-09-21,000-100005060-60,Alice Johnson,"5,061.60"
2025/10/22,000-100005061-61,Bob Smith,5061.61
2025-11-23,0000000000005062,Carol Williams,5062.62
2025-12-24,000-100005063-63,,5063.63
2025-01-25,000-100005064-64,Emma Davis,-10.00
2025-02-26,000-100005065-65,Frank Miller,5066.65
2025/03/27,000-100005066-66,Grace Wilson,5066.66
2025-04-28,0000000000005067,Hank Moore,5067.67
2025-05-01,000-100005068-68,,5068.68
2025-06-02,000-100005069-69,Jack Anderson,-10.00
2025-07-03,000-100005070-70,Alice Johnson,"5,071.70"
2025/08/04,000-100005071-71,Bob Smith,5071.71
2025-09-05,0000000000005072,Carol Williams,5072.72
2025-10-06,000-100005073-73,,5073.73
2025-11-07,000-100005074-74,Emma Davis,-10.00
2025-12-08,000-100005075-75,Frank Miller,5076.75
2025/01/09,000-100005076-76,Grace Wilson,5076.76
2025-02-10,0000000000005077,Hank Moore,5077.77
2025-03-11,000-100005078-78,,5078.78
2025-04-12,000-100005079-79,Jack Anderson,-10.00
2025-05-13,000-100005080-80,Alice Johnson,"5,081.80"
2025/06/14,000-100005081-81,Bob Smith,5081.81
2025-07-15,0000000000005082,Carol Williams,5082.82
2025-08-16,000-100005083-83,,5083.83
2025-09-17,000-100005084-84,Emma Davis,-10.00
2025-10-18,000-100005085-85,Frank Miller,5086.85
2025/11/19,000-100005086-86,Grace Wilson,5086.86
2025-12-20,0000000000005087,Hank Moore,5087.87
2025-01-21,000-100005088-88,,5088.88
2025-02-22,000-100005089-89,Jack Anderson,-10.00
2025-03-23,000-100005090-90,Alice Johnson,"5,091.90"
2025/04/24,000-100005091-91,Bob Smith,5091.91
2025-05-25,0000000000005092,Carol Williams,5092.92
2025-06-26,000-100005093-93,,5093.93
2025-07-27,000-100005094-94,Emma Davis,-10.00
2025-08-28,000-100005095-95,Frank Miller,5096.95
2025/09/01,000-100005096-96,Grace Wilson,5096.96
2025-10-02,0000000000005097,Hank Moore,5097.97
2025-11-03,000-100005098-98,,5098.98
2025-12-04,000-100005099-99,Jack Anderson,-10.00
2025-01-05,000-100005100-00,Alice Johnson,"5,101.00"
2025/02/06,000-100005101-01,Bob Smith,5101.01
2025-03-07,0000000000005102,Carol Williams,5102.02
2025-04-08,000-100005103-03,,5103.03
2025-05-09,000-100005104-04,Emma Davis,-10.00
2025-06-10,000-100005105-05,Frank Miller,5106.05
2025/07/11,000-100005106-06,Grace Wilson,5106.06
2025-08-12,0000000000005107,Hank Moore,5107.07
2025-09-13,000-100005108-08,,5108.08
2025-10-14,000-100005109-09,Jack Anderson,-10.00
2025-11-15,000-100005110-10,Alice Johnson,"5,111.10"
2025/12/16,000-100005111-11,Bob Smith,5111.11
2025-01-17,0000000000005112,Carol Williams,5112.12
2025-02-18,000-100005113-13,,5113.13
2025-03-19,000-100005114-14,Emma Davis,-10.00
2025-04-20,000-100005115-15,Frank Miller,5116.15
2025/05/21,000-100005116-16,Grace Wilson,5116.16
2025-06-22,0000000000005117,Hank Moore,5117.17
2025-07-23,000-100005118-18,,5118.18
2025-08-24,000-100005119-19,Jack Anderson,-10.00
2025-09-25,000-100005120-20,Alice Johnson,"5,121.20"
2025/10/26,000-100005121-21,Bob Smith,5121.21
2025-11-27,0000000000005122,Carol Williams,5122.22
2025-12-28,000-100005123-23,,5123.23
2025-01-01,000-100005124-24,Emma Davis,-10.00
2025-02-02,000-100005125-25,Frank Miller,5126.25
2025/03/03,000-100005126-26,Grace Wilson,5126.26
2025-04-04,0000000000005127,Hank Moore,5127.27
2025-05-05,000-100005128-28,,5128.28
2025-06-06,000-100005129-29,Jack Anderson,-10.00
2025-07-07,000-100005130-30,Alice Johnson,"5,131.30"
2025/08/08,000-100005131-31,Bob Smith,5131.31
2025-09-09,0000000000005132,Carol Williams,5132.32
2025-10-10,000-100005133-33,,5133.33
2025-11-11,000-100005134-34,Emma Davis,-10.00
2025-12-12,000-100005135-35,Frank Miller,5136.35
2025/01/13,000-100005136-36,Grace Wilson,5136.36
2025-02-14,0000000000005137,Hank Moore,5137.37
2025-03-15,000-100005138-38,,5138.38
2025-04-16,000-100005139-39,Jack Anderson,-10.00
2025-05-17,000-100005140-40,Alice Johnson,"5,141.40"
2025/06/18,000-100005141-41,Bob Smith,5141.41
2025-07-19,0000000000005142,Carol Williams,5142.42
2025-08-20,000-100005143-43,,5143.43
2025-09-21,000-100005144-44,Emma Davis,-10.00
2025-10-22,000-100005145-45,Frank Miller,5146.45
2025/11/23,000-100005146-46,Grace Wilson,5146.46
2025-12-24,0000000000005147,Hank Moore,5147.47
2025-01-25,000-100005148-48,,5148.48
2025-02-26,000-100005149-49,Jack Anderson,-10.00
2025-03-27,000-100005150-50,Alice Johnson,"5,151.50"
2025/04/28,000-100005151-51,Bob Smith,5151.51
2025-05-01,0000000000005152,Carol Williams,5152.52
2025-06-02,000-100005153-53,,5153.53
2025-07-03,000-100005154-54,Emma Davis,-10.00
2025-08-04,000-100005155-55,Frank Miller,5156.55
2025/09/05,000-100005156-56,Grace Wilson,5156.56
2025-10-06,0000000000005157,Hank Moore,5157.57
2025-11-07,000-100005158-58,,5158.58
2025-12-08,000-100005159-59,Jack Anderson,-10.00
2025-01-09,000-100005160-60,Alice Johnson,"5,161.60"
2025/02/10,000-100005161-61,Bob Smith,5161.61
2025-03-11,0000000000005162,Carol Williams,5162.62
2025-04-12,000-100005163-63,,5163.63
2025-05-13,000-100005164-64,Emma Davis,-10.00
2025-06-14,000-100005165-65,Frank Miller,5166.65
2025/07/15,000-100005166-66,Grace Wilson,5166.66
2025-08-16,0000000000005167,Hank Moore,5167.67
2025-09-17,000-100005168-68,,5168.68
2025-10-18,000-100005169-69,Jack Anderson,-10.00
2025-11-19,000-100005170-70,Alice Johnson,"5,171.70"
2025/12/20,000-100005171-71,Bob Smith,5171.71
2025-01-21,0000000000005172,Carol Williams,5172.72
2025-02-22,000-100005173-73,,5173.73
2025-03-23,000-100005174-74,Emma Davis,-10.00
2025-04-24,000-100005175-75,Frank Miller,5176.75
2025/05/25,000-100005176-76,Grace Wilson,5176.76
2025-06-26,0000000000005177,Hank Moore,5177.77
2025-07-27,000-100005178-78,,5178.78
2025-08-28,000-100005179-79,Jack Anderson,-10.00
2025-09-01,000-100005180-80,Alice Johnson,"5,181.80"
2025/10/02,000-100005181-81,Bob Smith,5181.81
2025-11-03,0000000000005182,Carol Williams,5182.82
2025-12-04,000-100005183-83,,5183.83
2025-01-05,000-100005184-84,Emma Davis,-10.00
2025-02-06,000-100005185-85,Frank Miller,5186.85
2025/03/07,000-100005186-86,Grace Wilson,5186.86
2025-04-08,0000000000005187,Hank Moore,5187.87
2025-05-09,000-100005188-88,,5188.88
2025-06-10,000-100005189-89,Jack Anderson,-10.00
2025-07-11,000-100005190-90,Alice Johnson,"5,191.90"
2025/08/12,000-100005191-91,Bob Smith,5191.91
2025-09-13,0000000000005192,Carol Williams,5192.92
2025-10-14,000-100005193-93,,5193.93
2025-11-15,000-100005194-94,Emma Davis,-10.00
2025-12-16,000-100005195-95,Frank Miller,5196.95
2025/01/17,000-100005196-96,Grace Wilson,5196.96
2025-02-18,0000000000005197,Hank Moore,5197.97
2025-03-19,000-100005198-98,,5198.98
2025-04-20,000-100005199-99,Jack Anderson,-10.00
2025-05-21,000-100005200-00,Alice Johnson,"5,201.00"
2025/06/22,000-100005201-01,Bob Smith,5201.01
2025-07-23,0000000000005202,Carol Williams,5202.02
2025-08-24,000-100005203-03,,5203.03
2025-09-25,000-100005204-04,Emma Davis,-10.00
2025-10-26,000-100005205-05,Frank Miller,5206.05
2025/11/27,000-100005206-06,Grace Wilson,5206.06
2025-12-28,0000000000005207,Hank Moore,5207.07
2025-01-01,000-100005208-08,,5208.08
2025-02-02,000-100005209-09,Jack Anderson,-10.00
2025-03-03,000-100005210-10,Alice Johnson,"5,211.10"
2025/04/04,000-100005211-11,Bob Smith,5211.11
2025-05-05,0000000000005212,Carol Williams,5212.12
2025-06-06,000-100005213-13,,5213.13
